キャラID,キャラ名,セリフ,表情イラスト,発動条件
3,??,……ハローハロー、説明不可,1,
1,柴崎　新,そっか。そうだ、少しいいかな？,1,
3,??,ハローハロー、どうしたの？,0,
1,柴崎　新,信じられないと思うけど、実は,0,
1,柴崎　新,私達はこの世界に迷ってしまったんだ,0,
2,ベット・ファックルターテム,にぃ急に言われても混乱するよね,1,
3,？？,ハローハロー、わたしはわかる,0,
2,ベット・ファックルターテム,まじりきに,0,
1,柴崎　新,そこで、僕達の手伝いをしてくれないか？,0,
1,柴崎　新,少し急ぎの用があってね,1,
2,ベット・ファックルターテム,流石に無理にとは言わなけり,0,
3,？？,ハローハロー、おきゃくさんにはおもてなし,0,
3,？？,ハローハロー、わかったついていく,0,
1,柴崎　新,そういえば君の名前は？,0,
3,？？,ハローハロー、わたしにはない,1,
1,柴崎　新,それじゃあ、ハローなんてどう？,3,
3,ハロー,ハローハロー、どうして？,0,
1,柴崎　新,そうやって言ってるから,1,
1,柴崎　新,呼び方があった方が話しやすくなるよ,0,
2,ベット・ファックルターテム,まぁ何とも雑な理由のこと,7,
3,ハロー,ハローハロー、いいとおもう,0,
2,ベット・ファックルターテム,いいんかい！,2,
2,ベット・ファックルターテム,（本人な気に入ったならいいけど）,1,
3,ハロー,ありがとう,4,
,,,,
,,ガチャガチャ,,赤いドアの鍵無しで赤いドアを調べる(ハロー入手後)
1,柴崎　新,このドアは開かないか,1,
2,ベット・ファックルターテム,はて、どこかに鍵があったこ？,0,
1,柴崎　新,……無いな,0,
3,ハロー,ハローハロー、としょしつにあるよ,0,
1,柴崎　新,図書室？,0,
2,ベット・ファックルターテム,そ、それって入口が鉄のドアじゃに？,4,
3,ハロー,ハローハロー、そこがちかにあるから,1,
3,ハロー,ハローハロー、そしてだいじなばしょ,0,
1,柴崎　新,その情報が正しいのなら、鍵はそこだな,0,
2,ベット・ファックルターテム,……あそこば危険よ,1,
2,ベット・ファックルターテム,行くならうぬ1人にすること,0,
1,柴崎　新,ベットは心配性だね,1,
2,ベット・ファックルターテム,まず毒ガスがある場所に行かないがな,0,
2,ベット・ファックルターテム,（まぁ、倍率が高いんだけどね）,1,
1,柴崎　新,……今、ベットが何考えてるか言おうか？,1,
2,ベット・ファックルターテム,んー、困るかな,1,
3,ハロー,ハローハロー、なにをかんがえてるの？,0,
2,ベット・ファックルターテム,……ギャンブラーの血が騒ぐだけよん,1,
2,ベット・ファックルターテム,うぬは可能性を、賭け事として扱う,0,
2,ベット・ファックルターテム,そういう能力を持っているこ,0,
3,ハロー,賭け事……ギャンブル……,0,
1,柴崎　新,ハローは考えなくていいんだよ,0,
3,ハロー,ハローハロー、わかった,0,
2,ベット・ファックルターテム,……ま、まぁぞれもそうだに,1,
,,,,
3,ハロー,ハローハロー、かぎはここにある,0,ハローを入手済みで鉄のドアを調べる
2,ベット・ファックルターテム,2人はここにいてぬ,1,
2,ベット・ファックルターテム,帰る途中で死んでも困るからね,0,
3,ハロー,ハローハロー、ベットだだいじょうぶ？,0,
2,ベット・ファックルターテム,これでも属性を司る存在か,1,
2,ベット・ファックルターテム,見た目は同じだが、作りが元から違に,0,
1,柴崎　新,つまり私が言うべきなのは、,0,
1,柴崎　新,とりあえず信じてくれないか？,0,
3,ハロー,ハローハロー、あなたをしらない,0,
3,ハロー,ハローハロー、しんじれるかな？,0,
1,柴崎　新,わたしなら信じられない,0,
2,ベット・ファックルターテム,即答が傷つくんだが,5,
2,ベット・ファックルターテム,そうだハにょー。中の形を知ってるか？,0,
3,ハロー,ハローハロー、まっすぐすすむ,1,
3,ハロー,ハローハロー、そこにあるよ,0,
2,ベット・ファックルターテム,単純な答えですだー,1,
1,柴崎　新,今なら……言えるかな,1,
1,柴崎　新,「ベット、君に賭けるよ」,0,
2,ベット・ファックルターテム,「期待通りのことは、するよ」,1,
,,,,
2,ベット・ファックルターテム,更に濃くなっているぺ……,2,
2,ベット・ファックルターテム,２人を置いてきて正解だったぃ,1,
2,ベット・ファックルターテム,……,1,
2,ベット・ファックルターテム,怖いから急ごう,4,
,,,,
2,ベット・ファックルターテム,なるほど、これが原因だったのた,2,ベット・ファックルターテムの状態で謎の死体を調べた時
2,ベット・ファックルターテム,（これは……人に？）,1,
2,ベット・ファックルターテム,2人が来なくてよかったかもしれないな,0,
2,ベット・ファックルターテム,死体、にしては状態がひどすぎるか,0,
2,ベット・ファックルターテム,姿勢からして、何かを抱えてるようか？,7,
,,,,
2,ベット・ファックルターテム,（そういえばお礼をするのが礼儀らしいに）,7,
2,ベット・ファックルターテム,何とか発見出来な,0,
2,ベット・ファックルターテム,えっと、鍵をお借りします,4,
2,ベット・ファックルターテム,……まさか呪われないよねぇ,1,
2,ベット・ファックルターテム,さて、二人の場所に行きますかか,0,
,,,,
2,ベット・ファックルターテム,ふぃー、何とか持ってこれた,1,地下の図書室から出たとき
2,ベット・ファックルターテム,これで合ってるかい？,0,
3,ハロー,ハローハロー、あってるよ,0,
1,柴崎　新,とりあえず、これで場所が分かるな,1,
1,柴崎　新,ハロー、今はどこなのか分かるか？,0,
3,ハロー,ハローハロー、このちずだとこのあたり,0,
1,柴崎　新,この文字……知らない種類だな,1,
1,柴崎　新,ベット、これ読めるか？,0,
2,ベット・ファックルターテム,えーっと、これは古代グルジナ文字？,7,
2,ベット・ファックルターテム,でも、これは一般通話用語ではないはずに,1,
1,柴崎　新,とりあえず読めるのか？,0,
2,ベット・ファックルターテム,ま、まぁそういうことか,0,
1,柴崎　新,えっと、それじゃあこの部屋の名前は？,0,
2,ベット・ファックルターテム,まずはそこから聞くのかは,7,
3,ハロー,ハローハロー……でも、,0,
3,ハロー,（どうしてこれしかかかれてないの？）,1,
1,柴崎　新,何か言ったかハロー,0,
3,ハロー,ハローハロー、何も,1,
1,柴崎　新,……ベット、その鍵どうしたの？,0,
2,ベット・ファックルターテム,え、あぁこれのことが？,0,
2,ベット・ファックルターテム,……ま、まぁその,4,
2,ベット・ファックルターテム,拾い物です,7,
3,ハロー,ハローハロー、それって,0,
3,ハロー,ハローハロー、赤いドアの鍵,0,
1,柴崎　新,他に赤いドアだと、あの場所だけ,0,
2,ベット・ファックルターテム,つまり、あの場所を開けられると！,0,
2,ベット・ファックルターテム,新ぁ、そっちに描けるのから？,1,
1,柴崎　新,手が震えてるぞ,0,
2,ベット・ファックルターテム,な、なんてことないぞ！,0,
3,ハロー,？,1,
3,ハロー,ハローハロー、いくよ？,0,
,,,,
1,柴崎　新,……,1,「ろうそく」の前を２回通った時
2,ベット・ファックルターテム,どうしたんに？ 新,0,
1,柴崎　新,いや、そこの蠟燭が気になっただけだ,0,
3,ハロー,ハローハロー、ろうそく？,0,
1,柴崎　新,一つだけあそこに置いてある,0,
1,柴崎　新,それが、不思議に思っただけだ,0,
2,ベット・ファックルターテム,確かに、位置が違うとかは怪しば,7,
2,ベット・ファックルターテム,ハローは何かしってるな？,0,
3,ハロー,ハローハロー、なにもしらない,1,
3,ハロー,ハローハロー、でもなにかある,0,
2,ベット・ファックルターテム,うーん、そう言うなら探しがいがるる？,1,
2,ベット・ファックルターテム,火が付いてるし、うぬが探すよな,0,
2,ベット・ファックルターテム,えーと、これがこーしてあーなって,,
2,ベット・ファックルターテム,えっと、これは？,0,
,,,,
1,,使えるかもしれない紙コップを拾った,,操作キャラ：柴崎　新
,,,,
2,,紙コップを拾った,,操作キャラ：ベット・ファックルターテム
,,,,
3,,紙で出来たコップを拾った,,操作キャラ：ハロー
,,,,
1,,『緑のドアの鍵』を拾った,,操作キャラ：柴崎　新　の状態で緑のドアの鍵を拾う
,,,,
2,,『緑のドア』と書いてある鍵を拾った,,操作キャラ：ベット・ファックルターテム
,,,,
1,,古い円盤が回っている,,操作キャラ：柴崎　新
,,,,
2,,レコードが流れている。古さを感じる,,操作キャラ：ベット・ファックルターテム
,,,,
3,,主がよく聞いていた音楽だ,,操作キャラ：ハロー
,,,,
1,,ハローが仲間になった,,操作キャラ：柴崎　新
,,,,
2,,ハローが仲間になった。これで3人になった,,操作キャラ：ベット・ファックルターテム
,,,,
1,,大きい館の写真だ,,操作キャラ：柴崎　新
,,,,
2,,4階建だろうか、大きい館だ,,操作キャラ：ベット・ファックルターテム
,,,,
3,,私の写真,,操作キャラ：ハロー
,,,,
1,,大きいクマのぬいぐるみだ。色が変,,操作キャラ：柴崎　新
,,,,
2,,大きいぬいぐるみだ,,操作キャラ：ベット・ファックルターテム
,,,,
3,,シャーロット様のくまさん,,操作キャラ：ハロー
,,,,
1,,『地図』らしきものを拾った,,操作キャラ：柴崎　新
,,,,
2,,『館の地図』らしき古い地図を拾った,,操作キャラ：ベット・ファックルターテム
,,,,
3,,主が作った『私の地図』を手に入れた,,操作キャラ：ハロー
,,,,
1,,『赤のドアの鍵』を拾った,,操作キャラ：柴崎　新
,,,,
2,,『赤のドア』と書いてある鍵を拾った,,操作キャラ：ベット・ファックルターテム
,,,,
3,,『十字の廊下への鍵』を手に入れた,,操作キャラ：ハロー
,,,,
1,,切り刻まれた死体が転がっている,,操作キャラ：柴崎　新
,,,,
2,,状態が悪い人型の何かが転がっている,,操作キャラ：ベット・ファックルターテム
,,,,
3,,主様だったものが倒れている,,操作キャラ：ハロー
,,,,
1,,『短いロウソク』を拾った。少しは使えるだろうか,,操作キャラ：柴崎　新
,,,,
2,,とても『短いロウソク』を拾った,,操作キャラ：ベット・ファックルターテム
,,,,
3,,『短いロウソク』を手に入れた,,操作キャラ：ハロー
,,,,
,,「３つ葉のクローバー」,,「３つ葉のクローバー」
,,原っぱの中に静かに咲いている姿,,
,,そんなものを描いている,,
,,意味は幸福の象徴,,
,,,,
,,「一輪のバラ」,,「一輪のバラ」
,,暗い部屋の中で散っていくバラ,,
,,そんなものを描いている,,
,,意味は自分だけの情熱,,
,,,,
,,「二つの涙」,,「二つの涙」
,,窓の前で泣いている女性,,
,,そんなものを描いている,,
,,意味は悲しみの遠さ,,
,,,,
,,「４人の写真」,,「４人の写真」
,,たった一つだけの家族の写真,,
,,そんなものを描いている,,
,,意味は最後の象徴,,
,,,,
1,,『電気部屋の鍵』を拾った,,操作キャラ：柴崎　新
,,,,
2,,『電気部屋』と書いてある鍵を拾った,,操作キャラ：ベット・ファックルターテム
,,,,
3,,『電気部屋への鍵』を手に入れた,,操作キャラ：ハロー
,,,,
1,,ドアが開かない,,操作キャラ：柴崎　新
,,,,
2,,文字が消えかけて読めない。ドアノブは壊れている,,操作キャラ：ベット・ファックルターテム
,,,,
3,,ウィルム様の部屋と呼ばれた場所,,操作キャラ：ハロー
,,,,
3,,アリア様の部屋と呼ばれた場所,,操作キャラ：ハロー
,,,,
3,,ソフィア様の部屋と呼ばれた場所,,操作キャラ：ハロー
,,,,
3,,シャーロット様の部屋と呼ばれた場所,,操作キャラ：ハロー
,,,,
1,,どこか吸い込まれそうなベットだ,,操作キャラ：柴崎　新
,,,,
2,,しわだらけの白いベットだ,,操作キャラ：ベット・ファックルターテム
,,,,
3,,お客様用の白い寝具,,操作キャラ：ハロー
,,,,
1,,『隠し部屋の鍵』を拾った,,操作キャラ：柴崎　新
,,,,
2,,『隠し部屋』と書いてある鍵を拾った,,操作キャラ：ベット・ファックルターテム
,,,,
3,,『隠し部屋への鍵』を手に入れた,,操作キャラ：ハロー
,,,,
1,,『ガーデニング用ハサミ』を拾った,,操作キャラ：柴崎　新
,,,,
2,,『大きなハサミ』を手に入れた。持ち手には血痕がある,,操作キャラ：ベット・ファックルターテム
,,,,
3,,『庭の手入れ用ハサミ』を手に入れた,,操作キャラ：ハロー
